login_credentials_forgotten	login/password/forgotten
login_account_locked	login/account/locked
login_wrong_credentials	login/credentials/rejected
login_token_expired	login/session/expired
login_otp_not_received	login/otp/not_received
login_2fa_locked_out	login/2fa/locked_out
login_cannot_access	login/account/cannot_access
login_401_unauthorized	login/account/error_401
subscription_payment_not_reflected	subscription/payment/not_applied
subscription_expired	subscription/plan/expired
subscription_status_inquiry	subscription/plan/status_check
subscription_double_charged	billing/charge/duplicated
subscription_refund_request	billing/refund/request
subscription_cancel_request	subscription/plan/request_cancel
subscription_upgrade_request	subscription/plan/request_upgrade
subscription_invoice_missing	billing/invoice/missing
subscription_payment_rejected	billing/payment/rejected
wallet_balance_issue	wallet/balance/wrong_data
wallet_topup_not_reflected	wallet/topup/not_applied
whatsapp_number_not_linked	whatsapp/number/not_linked
whatsapp_messages_not_sending	whatsapp/message/not_sending
whatsapp_messages_not_received	whatsapp/message/not_received
whatsapp_template_rejected	whatsapp/template/rejected
whatsapp_campaign_failed	whatsapp/campaign/failed
whatsapp_number_banned	whatsapp/number/banned
whatsapp_qr_not_scanning	whatsapp/qr/not_working
api_401_unauthorized	api/request/error_401
api_403_forbidden	api/request/error_403
api_429_rate_limited	api/request/error_429
api_500_server_error	api/request/error_500
api_integration_issue	api/client_code/not_working
api_key_invalid	api/key/rejected
webhook_not_receiving	webhook/event/not_received
webhook_duplicate_events	webhook/event/duplicated
mcp_connection_issue	integration/mcp/not_linked
integration_not_working	integration/external/not_working
dns_subdomain_issue	domain/subdomain/not_working
ssl_certificate_issue	domain/ssl/not_working
domain_request_pending	domain/subdomain_request/pending
server_error_5xx	platform/server/error_500
platform_slow	platform/dashboard/slow
platform_blank_page	platform/page/blank
file_upload_failing	platform/file_upload/not_working
data_export_issue	data/export/not_working
ticket_status_inquiry	ticket/ticket/status_check
ticket_no_response	ticket/reply/not_received
ticket_disappeared	ticket/ticket/missing
notifications_not_arriving	notification/notification/not_received
email_not_arriving	email/email/not_received
chat_widget_not_working	widget/widget/not_working
chatbot_wrong_answers	bot/answers/wrong_data
reports_wrong_data	report/numbers/wrong_data
reports_not_updating	report/report/not_updating
agent_cannot_access	team/agent/cannot_access
agent_permissions_issue	team/permissions/rejected
platform_wide_outage	platform/service/outage
pricing_inquiry	subscription/pricing/info_question
platform_info_inquiry	platform/product/info_question
howto_link_whatsapp	whatsapp/number/how_to_link
howto_create_ticket	ticket/ticket/how_to_create
howto_add_agent	team/agent/how_to_add
howto_setup_subdomain	domain/subdomain/how_to_setup
howto_use_api	api/api/how_to_use
whatsapp_number_disconnected	whatsapp/number/disconnects
whatsapp_slow_delivery	whatsapp/message/slow
customer_messages_missing	widget/customer_messages/missing
account_data_missing	account/data/missing
dashboard_not_updating	platform/dashboard/not_updating
mobile_app_issue	platform/mobile_browser/not_working
everything_broken_urgent	platform/service/outage_urgent
ticket_reopen_request	ticket/ticket/request_reopen
email_wrong_address	account/email/wrong_data
agent_cannot_reply	team/agent/cannot_reply
notifications_too_many	notification/notification/too_many
knowledge_base_search_issue	kb/search/not_working
forum_access_issue	platform/forum/rejected
howto_export_data	data/export/how_to
howto_change_password	account/password/how_to_change
howto_enable_2fa	security/2fa/how_to_enable
howto_connect_integration	integration/external/how_to_connect
howto_read_reports	report/report/how_to_read
